,Unnamed: 0,activity,started_at,finished_at,deleted_at,updated_at,user_id,user,room,floor
170,170,Location,2023-04-10 14:21:46+09:00,2023-04-10 14:21:50+09:00,,2023-04-10 05:22:02 UTC,97,5th-location,kitchen,5th
171,171,Location,2023-04-10 14:21:55+09:00,2023-04-10 14:22:16+09:00,,2023-04-10 05:23:02 UTC,97,5th-location,cafeteria,5th
172,172,Location,2023-04-10 14:22:23+09:00,2023-04-10 14:23:25+09:00,,2023-04-10 05:24:01 UTC,97,5th-location,kitchen,5th
173,173,Location,2023-04-10 14:23:29+09:00,2023-04-10 14:23:44+09:00,,2023-04-10 05:24:02 UTC,97,5th-location,cleaning,5th
174,174,Location,2023-04-10 14:23:42+09:00,2023-04-10 14:24:05+09:00,,2023-04-10 05:25:03 UTC,97,5th-location,nurse station,5th
175,175,Location,2023-04-10 14:24:11+09:00,2023-04-10 14:24:31+09:00,,2023-04-10 05:25:03 UTC,97,5th-location,hallway,"2nd,5th"
176,176,Location,2023-04-10 14:24:31+09:00,2023-04-10 14:26:38+09:00,,2023-04-10 05:27:02 UTC,97,5th-location,501,5th
177,177,Location,2023-04-10 14:26:43+09:00,2023-04-10 14:27:00+09:00,,2023-04-10 05:28:02 UTC,97,5th-location,hallway,"2nd,5th"
178,178,Location,2023-04-10 14:27:04+09:00,2023-04-10 14:27:12+09:00,,2023-04-10 05:28:02 UTC,97,5th-location,cafeteria,5th
179,179,Location,2023-04-10 14:27:15+09:00,2023-04-10 14:27:27+09:00,,2023-04-10 05:28:02 UTC,97,5th-location,cleaning,5th
180,180,Location,2023-04-10 14:27:33+09:00,2023-04-10 14:27:49+09:00,,2023-04-10 05:28:03 UTC,97,5th-location,nurse station,5th
181,181,Location,2023-04-10 14:27:54+09:00,2023-04-10 14:28:01+09:00,,2023-04-10 05:29:02 UTC,97,5th-location,hallway,"2nd,5th"
182,182,Location,2023-04-10 14:28:09+09:00,2023-04-10 14:29:28+09:00,,2023-04-10 05:30:03 UTC,97,5th-location,506,5th
183,183,Location,2023-04-10 14:29:33+09:00,2023-04-10 14:29:47+09:00,,2023-04-10 05:30:04 UTC,97,5th-location,cleaning,5th
184,184,Location,2023-04-10 14:29:52+09:00,2023-04-10 14:30:00+09:00,,2023-04-10 05:31:01 UTC,97,5th-location,nurse station,5th
185,185,Location,2023-04-10 14:30:22+09:00,2023-04-10 14:30:24+09:00,2023-04-10 05:31:02 UTC,2023-04-10 05:31:02 UTC,97,5th-location,520,5th
186,186,Location,2023-04-10 14:30:22+09:00,2023-04-10 14:30:24+09:00,2023-04-10 05:31:02 UTC,2023-04-10 05:31:02 UTC,97,5th-location,510,5th
187,187,Location,2023-04-10 14:30:27+09:00,2023-04-10 14:32:22+09:00,,2023-04-10 05:33:02 UTC,97,5th-location,520,5th
188,188,Location,2023-04-10 14:32:25+09:00,2023-04-10 14:32:29+09:00,,2023-04-10 05:33:02 UTC,97,5th-location,hallway,"2nd,5th"
189,189,Location,2023-04-10 14:32:34+09:00,2023-04-10 14:32:46+09:00,,2023-04-10 05:33:03 UTC,97,5th-location,cafeteria,5th
190,190,Location,2023-04-10 14:32:52+09:00,2023-04-10 14:33:39+09:00,,2023-04-10 05:34:01 UTC,97,5th-location,cleaning,5th
191,191,Location,2023-04-10 14:33:43+09:00,2023-04-10 14:33:58+09:00,,2023-04-10 05:35:01 UTC,97,5th-location,nurse station,5th
192,192,Location,2023-04-10 14:34:01+09:00,2023-04-10 14:34:35+09:00,,2023-04-10 05:35:02 UTC,97,5th-location,cafeteria,5th
193,193,Location,2023-04-10 14:34:34+09:00,2023-04-10 14:38:07+09:00,,2023-04-10 05:39:02 UTC,97,5th-location,kitchen,5th
194,194,Location,2023-04-10 14:38:08+09:00,2023-04-10 14:38:33+09:00,,2023-04-10 05:39:02 UTC,97,5th-location,cafeteria,5th
