timestamp,top_3_beacons,room
2023-04-10 14:21:46+09:00,"[4, 6]",kitchen
2023-04-10 14:21:47+09:00,"[4, 6, 9]",kitchen
2023-04-10 14:21:48+09:00,"[4, 9]",kitchen
2023-04-10 14:21:49+09:00,"[9, 4, 7]",kitchen
2023-04-10 14:21:50+09:00,"[9, 4, 7]",kitchen
2023-04-10 14:21:57+09:00,[4],cafeteria
2023-04-10 14:21:58+09:00,[4],cafeteria
2023-04-10 14:21:59+09:00,[4],cafeteria
2023-04-10 14:22:06+09:00,[4],cafeteria
2023-04-10 14:22:07+09:00,[4],cafeteria
2023-04-10 14:22:08+09:00,"[4, 7]",cafeteria
2023-04-10 14:22:09+09:00,"[9, 18, 4]",cafeteria
2023-04-10 14:22:10+09:00,"[4, 9]",cafeteria
2023-04-10 14:22:11+09:00,"[4, 9]",cafeteria
2023-04-10 14:22:12+09:00,[4],cafeteria
2023-04-10 14:22:13+09:00,[4],cafeteria
2023-04-10 14:22:14+09:00,"[14, 4]",cafeteria
2023-04-10 14:22:15+09:00,"[4, 14]",cafeteria
2023-04-10 14:22:16+09:00,"[14, 4]",cafeteria
2023-04-10 14:22:23+09:00,"[4, 14]",kitchen
2023-04-10 14:22:24+09:00,[14],kitchen
2023-04-10 14:22:26+09:00,[14],kitchen
2023-04-10 14:22:27+09:00,[14],kitchen
2023-04-10 14:22:28+09:00,[14],kitchen
2023-04-10 14:22:29+09:00,[14],kitchen
2023-04-10 14:22:31+09:00,[14],kitchen
2023-04-10 14:22:32+09:00,[14],kitchen
2023-04-10 14:22:33+09:00,[14],kitchen
2023-04-10 14:22:36+09:00,[14],kitchen
2023-04-10 14:22:39+09:00,"[4, 14]",kitchen
2023-04-10 14:22:40+09:00,[4],kitchen
2023-04-10 14:22:41+09:00,"[14, 4]",kitchen
2023-04-10 14:22:43+09:00,"[4, 6]",kitchen
2023-04-10 14:22:44+09:00,"[4, 14]",kitchen
2023-04-10 14:22:45+09:00,"[14, 4]",kitchen
2023-04-10 14:22:46+09:00,"[4, 6, 14]",kitchen
2023-04-10 14:22:47+09:00,[4],kitchen
2023-04-10 14:22:48+09:00,"[4, 14]",kitchen
2023-04-10 14:22:49+09:00,"[14, 4]",kitchen
2023-04-10 14:22:50+09:00,"[4, 14]",kitchen
2023-04-10 14:22:51+09:00,"[14, 4]",kitchen
2023-04-10 14:22:52+09:00,"[4, 14]",kitchen
2023-04-10 14:22:53+09:00,"[14, 4]",kitchen
2023-04-10 14:22:54+09:00,[4],kitchen
2023-04-10 14:22:55+09:00,"[4, 14]",kitchen
2023-04-10 14:22:56+09:00,"[14, 4]",kitchen
2023-04-10 14:22:57+09:00,"[4, 14]",kitchen
2023-04-10 14:22:58+09:00,"[14, 4]",kitchen
2023-04-10 14:22:59+09:00,"[4, 14]",kitchen
2023-04-10 14:23:00+09:00,"[14, 4]",kitchen
2023-04-10 14:23:01+09:00,[4],kitchen
2023-04-10 14:23:02+09:00,[14],kitchen
2023-04-10 14:23:03+09:00,[4],kitchen
2023-04-10 14:23:04+09:00,[4],kitchen
2023-04-10 14:23:09+09:00,"[4, 14]",kitchen
2023-04-10 14:23:10+09:00,[14],kitchen
2023-04-10 14:23:11+09:00,[14],kitchen
2023-04-10 14:23:12+09:00,[14],kitchen
2023-04-10 14:23:13+09:00,[14],kitchen
2023-04-10 14:23:14+09:00,[14],kitchen
2023-04-10 14:23:15+09:00,[14],kitchen
2023-04-10 14:23:16+09:00,"[4, 14]",kitchen
2023-04-10 14:23:17+09:00,"[4, 14]",kitchen
2023-04-10 14:23:18+09:00,"[4, 9]",kitchen
2023-04-10 14:23:19+09:00,"[4, 6]",kitchen
2023-04-10 14:23:20+09:00,"[4, 9]",kitchen
2023-04-10 14:23:21+09:00,"[17, 5, 4]",kitchen
2023-04-10 14:23:22+09:00,"[5, 19, 6]",kitchen
2023-04-10 14:23:23+09:00,"[19, 17, 3]",kitchen
2023-04-10 14:23:24+09:00,"[19, 6]",kitchen
2023-04-10 14:23:25+09:00,[19],kitchen
2023-04-10 14:23:29+09:00,"[19, 9]",cleaning
2023-04-10 14:23:30+09:00,"[19, 9, 4]",cleaning
