,timestamp,beacon_percentages,room
0,2023-04-10 14:21:46+09:00,"{4: 0.69, 6: 0.31}",kitchen
1,2023-04-10 14:21:47+09:00,"{4: 0.66, 6: 0.17, 9: 0.17}",kitchen
2,2023-04-10 14:21:48+09:00,"{4: 0.75, 9: 0.25}",kitchen
3,2023-04-10 14:21:49+09:00,"{9: 0.32, 4: 0.21, 7: 0.16}",kitchen
4,2023-04-10 14:21:50+09:00,"{9: 0.52, 4: 0.47, 7: 0.01}",kitchen
5,2023-04-10 14:21:57+09:00,{4: 1.0},cafeteria
6,2023-04-10 14:21:58+09:00,{4: 1.0},cafeteria
7,2023-04-10 14:21:59+09:00,{4: 1.0},cafeteria
8,2023-04-10 14:22:06+09:00,{4: 1.0},cafeteria
9,2023-04-10 14:22:07+09:00,{4: 1.0},cafeteria
10,2023-04-10 14:22:08+09:00,"{4: 0.67, 7: 0.33}",cafeteria
11,2023-04-10 14:22:09+09:00,"{9: 0.28, 18: 0.2, 4: 0.2}",cafeteria
12,2023-04-10 14:22:10+09:00,"{4: 0.66, 9: 0.34}",cafeteria
13,2023-04-10 14:22:11+09:00,"{4: 0.72, 9: 0.28}",cafeteria
14,2023-04-10 14:22:12+09:00,{4: 1.0},cafeteria
15,2023-04-10 14:22:13+09:00,{4: 1.0},cafeteria
16,2023-04-10 14:22:14+09:00,"{14: 0.67, 4: 0.33}",cafeteria
17,2023-04-10 14:22:15+09:00,"{4: 0.67, 14: 0.33}",cafeteria
18,2023-04-10 14:22:16+09:00,"{14: 0.65, 4: 0.35}",cafeteria
19,2023-04-10 14:22:23+09:00,"{4: 0.85, 14: 0.15}",kitchen
20,2023-04-10 14:22:24+09:00,{14: 1.0},kitchen
21,2023-04-10 14:22:26+09:00,{14: 1.0},kitchen
22,2023-04-10 14:22:27+09:00,{14: 1.0},kitchen
23,2023-04-10 14:22:28+09:00,{14: 1.0},kitchen
24,2023-04-10 14:22:29+09:00,{14: 1.0},kitchen
25,2023-04-10 14:22:31+09:00,{14: 1.0},kitchen
